business_name,rating,review_count,category,address,hours,phone,has_website,review
Hi Tech Auto Spa,4.7,113,,,,,,They put life back into my car and made it look 150% better inside and out.
Ultimate Auto Detailing LLC,4.9,95,,,,,,I picked up my car this morning and it literally looks brand new!!
Lucca's Detailing,5.0,75,,,,,,He spent many hours detailing my car - 5 years later and it looks like NEW.
Nyack Village Auto Spa,4.4,43,,,,,,Great job with the car and great customer service from Ray!
ACE Detailing,5.0,6,,,,,,Excellent service my car looks AMAZING.
Prestigious AutoCare,5.0,12,,,,,,Gave amazing customer service and left my car looking and smelling amazing.
Hydro Auto Spa,4.3,50,,,,,,They did a fabulous job cleaning my car.
JFM Auto Spa Hand Wash Corp.,4.5,69,,,,,,My car looks brand new after leaving this place.
SnacksMobileDetailing,4.7,133,,,,,,Did a great job getting all the stains out and car smells brand new.
Flex Auto Style,5.0,43,,,,,,"The quality of the wrap is exceptional, and my car looks better than ever."
Ultimate Auto Body,4.8,212,,,,,,"Got my SUV looking brand new, like it just rolled off the lot."
ULTIMATE GLOSS / AUTO DETAILING / PAINT PROTECTION,5.0,45,,,,,,"The exterior looks flawless, and the interior feels brand new again."
Clean Rides Autocare,5.0,18,,,,,,clean rides autocare made my car look and smell brand new
Drip Car Detailing,5.0,1,,,,,,"They arrived on time, cleaned every nook, and the car looks showroom-ready."
Ultimate Auto Detailing,5.0,49,,,,,,It came out looking better than when the car was brand new.
auto corp detail,5.0,4,,,,,,Great pricing with even better service!!!
Harvey's Mobile Detailing,3.7,3,,,,,,I highly recommend his services.
Ultimate Touch,4.9,39,,,,,,"TLDR: Price was right, car looks brand new."
Ultimate Auto Body,4.8,143,,,,,,I got my car back in a timely manner and it looks brand new.
Angry Monkey Detailing,5.0,6,,,,,,Angry Monkey Detailing made my RAV4 look brand new.
Universal Mobile Car Detailing,4.8,16,,,,,,Will definitely return!
Ultimate Detail Inc,5.0,7,,,,,,"Every car (20 or more) I've brought her, they all came out perfect."
